GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
People book Web,org.shadoof42.store,MemoryStorage,30,58,2,2,6,12,5,6,3,6
People book Web,org.shadoof42.store,UserCache,14,38,0,0,5,10,3,8,3,8
People book Web,org.shadoof42.servlets,UserViewServlet,25,0,0,0,7,0,2,0,2,0
People book Web,org.shadoof42.servlets,UserCreateJsonServlet,58,0,0,0,12,0,3,0,3,0
People book Web,org.shadoof42.servlets,TestServlet,21,0,0,0,8,0,2,0,2,0
People book Web,org.shadoof42.servlets,UserEditServlet,73,0,0,0,12,0,4,0,4,0
People book Web,org.shadoof42.servlets,UserServlet,102,0,2,0,18,0,5,0,4,0
People book Web,org.shadoof42.servlets,UserCreateServlet,0,48,0,0,0,7,0,2,0,2
People book Web,org.shadoof42.servlets,UserDeleteServlet,29,0,0,0,5,0,3,0,3,0
People book Web,org.shadoof42.form,UserForm,10,0,0,0,4,0,3,0,3,0
